Date,Action,Cash,Equity,Price
2024-01-09,HOLD,0,11.9048,52.6433
2024-01-10,HOLD,0,11.9048,53.1866
2024-01-11,HOLD,0,11.9048,53.7833
2024-01-12,HOLD,0,11.9048,53.7899
2024-01-16,HOLD,0,11.9048,53.8133
2024-01-17,HOLD,0,11.9048,53.7933
2024-01-18,HOLD,0,11.9048,53.7199
2024-01-19,HOLD,0,11.9048,54.4766
2024-01-22,HOLD,0,11.9048,54.2633
2024-01-23,HOLD,0,11.9048,54.0399
2024-01-24,HOLD,0,11.9048,54.2999
2024-01-25,HOLD,0,11.9048,53.7999
2024-01-26,HOLD,0,11.9048,54.3499
2024-01-29,HOLD,0,11.9048,54.7833
2024-01-30,HOLD,0,11.9048,54.8999
2024-01-31,HOLD,0,11.9048,55.9333
2024-02-01,HOLD,0,11.9048,55.2333
2024-02-02,HOLD,0,11.9048,56.0499
2024-02-05,HOLD,0,11.9048,56.6699
2024-02-06,HOLD,0,11.9048,56.2633
2024-02-07,HOLD,0,11.9048,56.7566
2024-02-08,HOLD,0,11.9048,56.4599
2024-02-09,HOLD,0,11.9048,56.4633
2024-02-12,HOLD,0,11.9048,56.4099
2024-02-13,HOLD,0,11.9048,56.8733
2024-02-14,HOLD,0,11.9048,56.2499
2024-02-15,HOLD,0,11.9048,56.5999
2024-02-16,HOLD,0,11.9048,56.7633
2024-02-20,HOLD,0,11.9048,59.4933
2024-02-21,HOLD,0,11.9048,58.3333
2024-02-22,HOLD,0,11.9048,57.9599
2024-02-23,HOLD,0,11.9048,58.6966
2024-02-26,HOLD,0,11.9048,59.12
2024-02-27,HOLD,0,11.9048,59.64
2024-02-28,HOLD,0,11.9048,59.55
2024-02-29,HOLD,0,11.9048,59.45
2024-03-01,HOLD,0,11.9048,58.8
2024-03-04,HOLD,0,11.9048,58.5
2024-03-05,HOLD,0,11.9048,59.87
2024-03-06,HOLD,0,11.9048,60.12
2024-03-07,HOLD,0,11.9048,61.0
2024-03-08,HOLD,0,11.9048,60.0
2024-03-11,HOLD,0,11.9048,60.1
2024-03-12,HOLD,0,11.9048,60.95
2024-03-13,HOLD,0,11.9048,61.26
2024-03-14,HOLD,0,11.9048,61.28
2024-03-15,HOLD,0,11.9048,60.68
2024-03-18,HOLD,0,11.9048,60.69
2024-03-19,HOLD,0,11.9048,60.97
2024-03-20,HOLD,0,11.9048,60.84
2024-03-21,HOLD,0,11.9048,61.28
2024-03-22,HOLD,0,11.9048,61.32
2024-03-25,HOLD,0,11.9048,60.87
2024-03-26,HOLD,0,11.9048,60.46
2024-03-27,HOLD,0,11.9048,60.87
2024-03-28,HOLD,0,11.9048,60.66
2024-04-01,HOLD,0,11.9048,60.31
2024-04-02,HOLD,0,11.9048,59.9
2024-04-03,HOLD,0,11.9048,59.38
2024-04-04,HOLD,0,11.9048,59.54
2024-04-05,HOLD,0,11.9048,59.55
2024-04-08,HOLD,0,11.9048,59.6
2024-04-09,HOLD,0,11.9048,59.87
2024-04-10,HOLD,0,11.9048,59.62
2024-04-11,HOLD,0,11.9048,60.75
2024-04-12,HOLD,0,11.9048,60.0
2024-04-15,HOLD,0,11.9048,60.51
2024-04-16,HOLD,0,11.9048,60.03
2024-04-17,HOLD,0,11.9048,60.15
2024-04-18,HOLD,0,11.9048,59.83
2024-04-19,HOLD,0,11.9048,59.45
2024-04-22,HOLD,0,11.9048,59.56
2024-04-23,HOLD,0,11.9048,60.25
2024-04-24,HOLD,0,11.9048,58.975
2024-04-25,HOLD,0,11.9048,60.05
2024-04-26,HOLD,0,11.9048,60.11
2024-04-29,HOLD,0,11.9048,60.18
2024-04-30,HOLD,0,11.9048,60.2
2024-05-01,HOLD,0,11.9048,59.31
2024-05-02,HOLD,0,11.9048,58.94
2024-05-03,HOLD,0,11.9048,59.62
2024-05-06,HOLD,0,11.9048,60.0
2024-05-07,HOLD,0,11.9048,60.17
2024-05-08,HOLD,0,11.9048,60.63
2024-05-09,HOLD,0,11.9048,60.2
2024-05-10,HOLD,0,11.9048,60.41
